N_SAMPLES,N_NEURONS,Strategy,Accuracy_A,Accuracy_A_std,Accuracy_NOTB,Accuracy_NOTB_std,Accuracy_GEN,Accuracy_GEN_std,Harmonic_Mean,Harmonic_Mean_std
100,6000,C-FT NOT-B (spec),0.5521077186102571,0.013553986951025367,0.5728000000000001,0.06413236312502445,0.1996,0.024507957891264632,0.3474030132764937,0.02048213342180123
100,6000,C-FT NOT-B (free_A),0.627419242248756,0.05125798779627955,0.009600000000000001,0.00463033476111609,0.0108,0.01085172797300043,0.01993742470578573,0.0037190620675329237
100,6000,C-FT NOT-B (free_B),0.7328433957703095,0.03635223332922075,0.0016,0.00233238075793812,0.0024000000000000002,0.0038781438859330636,0.004739643642970268,0.00024927374800923566
100,6000,C-FT NOT-B (busy_A),0.5575839713076567,0.04984588029441266,0.8504000000000002,0.09122631199385409,0.37079999999999996,0.06294886813914927,0.5270129825322071,0.06175259345866677
100,6000,C-FT NOT-B (busy_B),0.5689755303193669,0.030662868961212147,0.9248,0.09071802466985264,0.4364,0.09453380347790942,0.5801170934322808,0.07506500838971858
100,6000,C-FT NOT-B (rnd),0.4973691927389692,0.047038850362941635,0.0772,0.029355749011054033,0.04,0.030119760955226723,0.07087001103090021,0.041154569205869476
1000,6000,FT NOT-B,0.1818074524527789,0.006975167010274135,0.9914,0.008867919710958154,0.44220000000000004,0.053435568678549684,0.3411416338903994,0.01629405844348929
1000,6000,C-FT NOT-B (spec),0.2299320194444026,0.011776393761046148,0.9917999999999999,0.0063686733312362685,0.29700000000000004,0.052076866265166145,0.342054532424497,0.030396024233004183
1000,6000,C-FT NOT-B (free_A),0.2696478651193618,0.053586845072845835,0.1958,0.021775215268740742,0.056999999999999995,0.009899494936611663,0.11237152201053258,0.014296494047125451
1000,6000,C-FT NOT-B (free_B),0.3164127529190813,0.06589740060720785,0.16499999999999998,0.02819219750214588,0.051000000000000004,0.009143303560529968,0.10229886512882096,0.01421752221330796
1000,6000,C-FT NOT-B (busy_A),0.19966454325153118,0.01820735224671715,0.9932000000000001,0.005268775948927802,0.3146,0.04326938871766044,0.32531006708724075,0.029349819382485497
1000,6000,C-FT NOT-B (busy_B),0.18471368407906735,0.025553741700215057,0.9965999999999999,0.0016248076809271934,0.357,0.04766130505976521,0.32193126123229526,0.02570807979092097
1000,6000,C-FT NOT-B (rnd),0.1942254068215321,0.02568068940300117,0.663,0.07190827490629992,0.08759999999999998,0.008212186067059125,0.16531107090858463,0.013972846528844151
10,4000,FT NOT-B,0.10745580872622747,0.0816319287060229,1.0,0.0,0.5760000000000001,0.1168931135696197,0.22223346307620484,0.1159080947361703
10,4000,C-FT NOT-B (spec),0.6730761090404209,0.10087881371150759,0.6559999999999999,0.16847551750922152,0.264,0.20838426044209765,0.3849826315623667,0.18156011724032275
10,4000,C-FT NOT-B (free_A),0.9654329035470784,0.020932771613460154,0.0,0.0,0.0,0.0,,
10,4000,C-FT NOT-B (free_B),0.9808123353507275,0.010293268035105142,0.0,0.0,0.0,0.0,,
10,4000,C-FT NOT-B (busy_A),0.635284909882326,0.06227761846296236,0.764,0.08708616422830898,0.352,0.11496086290559931,0.5061698169225476,0.10092682247162628
10,4000,C-FT NOT-B (busy_B),0.602630510174617,0.10103120535172294,0.8639999999999999,0.12611106216347562,0.512,0.10552724766618332,0.6134634000557824,0.06505027817135645
10,4000,C-FT NOT-B (rnd),0.8629338440512141,0.06570928281376959,0.14400000000000002,0.11271202242884298,0.044000000000000004,0.062481997407253236,0.16917494588281246,0.04966793979375074
100,4000,FT NOT-B,0.2384239773995746,0.018566527553760336,0.9975999999999999,0.0029393876913398165,0.43439999999999995,0.08867378417548223,0.3977802042681736,0.04110778611153478
100,4000,C-FT NOT-B (spec),0.5527503192720662,0.02252582182456754,0.40759999999999996,0.03970692634793081,0.1368,0.022184679398179273,0.2577316668872749,0.029429777252113612
100,4000,C-FT NOT-B (free_A),0.7597725000059491,0.054481974863224876,0.0,0.0,0.0032,0.002993325909419153,,
100,4000,C-FT NOT-B (free_B),0.8540162596280503,0.02398819994903025,0.0,0.0,0.0,0.0,,
100,4000,C-FT NOT-B (busy_A),0.5653167021778442,0.059962265959010455,0.7048000000000001,0.14251792869670823,0.3028,0.07732114846534549,0.45951099901655884,0.0924540697548688
100,4000,C-FT NOT-B (busy_B),0.5733089891534835,0.04107701503030795,0.8516,0.12360841395309624,0.4,0.10239531239270672,0.5480156607687855,0.09294240202037889
100,4000,C-FT NOT-B (rnd),0.4871727318378187,0.04288446145695898,0.09,0.018022208521710093,0.04479999999999999,0.023172397372736384,0.08154673373174129,0.030408710394476735
1000,4000,FT NOT-B,0.1818074524527789,0.006975167010274135,0.9914,0.008867919710958154,0.44220000000000004,0.053435568678549684,0.3411416338903994,0.01629405844348929
1000,4000,C-FT NOT-B (spec),0.23506784084665516,0.008449258332053382,0.9756,0.011757550765359266,0.26480000000000004,0.04137825515896,0.3291713325394935,0.024549069897918833
1000,4000,C-FT NOT-B (free_A),0.3475171875399665,0.049031547139784755,0.1248,0.021367264682218917,0.0474,0.005678027826631356,0.09275770650011672,0.00850314652894112
1000,4000,C-FT NOT-B (free_B),0.45564891921512374,0.09719579004519406,0.0804,0.0194381069037085,0.0338,0.007054076835419359,0.06656206476472191,0.01206235231636644
1000,4000,C-FT NOT-B (busy_A),0.20336642723182502,0.012576759500129146,0.9894000000000001,0.005642694391866359,0.31520000000000004,0.0306032677993707,0.3285168028486505,0.015697339008282837
1000,4000,C-FT NOT-B (busy_B),0.18378845174348574,0.013185277671274606,0.9964000000000001,0.001356465996625055,0.37020000000000003,0.04492838746271671,0.32745087316020677,0.02495309539788314
1000,4000,C-FT NOT-B (rnd),0.2537717682105297,0.04877747180762033,0.4,0.08532291603080619,0.0724,0.005851495535331116,0.14635185846931714,0.009911214906829174
